ID jeu PK;Titre du jeu;Année de sortie;Directeur du jeu;Nom franchise
1;Fer et Flamme;1986;Hervé Lange;Fer et Flamme
2;Masque;1986;Philippe Baumard;Masque
3;Zombi;1986;George Andrew Romero;Zombi
4;Asphalt;1987;Christophe Gomez;Asphalt
5;Final Command;1987;Inconnu;Final Command
6;Gabrielle;1987;Inconnu;Gabrielle
7;Hurlements;1987;Inconnu;Hurlements
8;Inertie;1987;Christophe Le Bouil;Inertie
9;Le Maître des âmes;1987;inconnu;Le Maître des âmes
10;Le Nécromancien;1987;inconnu;Le Nécromancien
11;Manhattan 95 Light;1987;Yannick Cadin;Manhattan 95 Light
12;M'enfin;1987;inconnu;Gaston
13;Peur sur Amityville;1987;Serge Payeur;Peur sur Amityville
14;Skateball;1988;Hervé Dudognon;Skateball
15;Great Courts;1989;Inconnu;Great Courts
16;Iron Lord;1989;Orou Mama;Iron Lord
17;Night Hunter;1989;Olivier Marty;Night Hunter
18;Puffy's Saga;1989;Inconnu;Puffy's Saga
19;TwinWorld: Land of Vision;1989;Thomas Hauser;TwinWorld
20;Back to the Golden Age;1990;Laurent Lichnewsky;Back to the Golden Age
21;B.A.T.;1989;Hervé Lange;B.A.T.
22;RanX: The Video Game;1990;Therry Platon;RanX: The Video Game
23;Sauvez Yurk;1990;Inconnu;Sauvez Yurk
24;Unreal;1990;Inconnu;Unreal
25;Great Courts 2;1991;Inconnu;Great Courts
26;Starush;1992;Inconnu;Starush
27;B.A.T. II: The Koshan Conspiracy;1992;Inconnu;B.A.T.
28;Indiana Jones and the Last Crusade: The Action Game;1989;Inconnu;Indiana Jones
29;Street Racer;1994;Mevlut Dinc;Street Racer
30;Action Soccer;1995;Inconnu;Action Soccer
31;Rayman;1995;Michel Ancel;Rayman
32;Rayman Junior;1996;Inconnu;Rayman
33;Marine Malice 2 : Le Mystère de l'école hantée;1996;Inconnu;Marine Malice
34;F1 Pole Position 64;1997;Inconnu;F1 Pole Position 64
35;Grandia;1997;Inconnu;Grandia
36;Les Neuf Destins de Valdo;1997;Alexis Nolent;Les Neuf Destins de Valdo
37;POD: Planet of Death;1997;Fabrice Valay;POD
38;Sub Culture;1997;Inconnu;Sub Culture
39;Asgan: The Dragon Slayer;1998;Inconnu;Asgan: The Dragon Slayer
40;Buck Bumble;1998;Inconnu;Buck Bumble
41;F1 Racing Simulation;1997;Peggy Desplats;F1 Racing Simulation
42;Laura et le Secret du diamant;1998;Inconnu;Laura et le Secret du diamant
43;Redline Racer;1998;Inconnu;Redline Racer
44;S.C.A.R.S.;1998;Inconnu;S.C.A.R.S.
45;The Settlers III;1998;Volker Wertich;The Settlers
46;Tom Clancy's Rainbow Six;1998;Brian Upton;Tom Clancy Rainbow Six
47;Yannick Noah All Star Tennis '99;1998;Inconnu;Yannick Noah All Star Tennis '99
